Real,Imag
-0.999999999988E-5,+0.795732827116E-3
+0.100000000000E-4,-0.793748246794E-3
-0.999999999991E-5,+0.791773539484E-3
+0.100000000000E-4,-0.789808631691E-3
-0.999999999994E-5,+0.787853450645E-3
+0.100000000000E-4,-0.785907924298E-3
-0.999999999994E-5,+0.783971981308E-3
+0.999999999989E-5,-0.782045551037E-3
-0.999999999997E-5,+0.780128563538E-3
+0.999999999990E-5,-0.778220949549E-3
-0.100000000000E-4,+0.776322640484E-3
+0.999999999993E-5,-0.774433568422E-3
-0.100000000000E-4,+0.772553666105E-3
+0.999999999992E-5,-0.770682866924E-3
-0.100000000000E-4,+0.768821104914E-3
+0.999999999996E-5,-0.766968314746E-3
-0.999999999987E-5,+0.765124431720E-3
+0.999999999997E-5,-0.763289391755E-3
-0.999999999990E-5,+0.761463131385E-3
+0.999999999999E-5,-0.759645587748E-3
-0.999999999992E-5,+0.757836698582E-3
+0.100000000000E-4,-0.756036402217E-3
-0.999999999990E-5,+0.754244637565E-3
+0.100000000000E-4,-0.752461344118E-3
-0.999999999992E-5,+0.750686461940E-3
+0.100000000000E-4,-0.748919931655E-3
-0.999999999994E-5,+0.747161694447E-3
+0.999999999988E-5,-0.745411692053E-3
-0.999999999997E-5,+0.743669866750E-3
+0.999999999991E-5,-0.741936161357E-3
-0.999999999994E-5,+0.740210519222E-3
+0.999999999993E-5,-0.738492884222E-3
-0.100000000000E-4,+0.736783200751E-3
+0.999999999991E-5,-0.735081413717E-3
-0.100000000000E-4,+0.733387468537E-3
+0.999999999996E-5,-0.731701311130E-3
-0.100000000000E-4,+0.730022887909E-3
+0.999999999993E-5,-0.728352145779E-3
-0.999999999988E-5,+0.726689032131E-3
+0.999999999991E-5,-0.725033494834E-3
-0.999999999989E-5,+0.723385482229E-3
+0.999999999997E-5,-0.721744943130E-3
-0.999999999981E-5,+0.720111826811E-3
+0.999999999999E-5,-0.718486083005E-3
-0.999999999993E-5,+0.716867661897E-3
+0.100000000000E-4,-0.715256514122E-3
-0.999999999989E-5,+0.713652590754E-3
+0.100000000000E-4,-0.712055843309E-3
-0.100000000001E-4,+0.710466223733E-3
+0.999999999988E-5,-0.708883684402E-3
-0.999999999997E-5,+0.707308178113E-3
+0.999999999991E-5,-0.705739658084E-3
-0.999999999999E-5,+0.704178077945E-3
+0.999999999989E-5,-0.702623391738E-3
-0.100000000000E-4,+0.701075553908E-3
+0.999999999988E-5,-0.699534519299E-3
-0.999999999997E-5,+0.698000243155E-3
+0.999999999993E-5,-0.696472681110E-3
-0.100000000000E-4,+0.694951789183E-3
+0.999999999997E-5,-0.693437523780E-3
-0.999999999992E-5,+0.691929841685E-3
+0.999999999996E-5,-0.690428700055E-3
-0.999999999996E-5,+0.688934056421E-3
+0.999999999999E-5,-0.687445868678E-3
-0.999999999993E-5,+0.685964095086E-3
+0.100000000000E-4,-0.684488694264E-3
-0.999999999995E-5,+0.683019625184E-3
+0.100000000000E-4,-0.681556847172E-3
-0.999999999997E-5,+0.680100319901E-3
+0.100000000000E-4,-0.678650003387E-3
-0.999999999998E-5,+0.677205857986E-3
+0.999999999988E-5,-0.675767844394E-3
-0.999999999993E-5,+0.674335923635E-3
+0.999999999992E-5,-0.672910057067E-3
-0.999999999996E-5,+0.671490206372E-3
+0.999999999992E-5,-0.670076333554E-3
-0.100000000000E-4,+0.668668400939E-3
+0.999999999993E-5,-0.667266371165E-3
-0.999999999998E-5,+0.665870207187E-3
+0.999999999996E-5,-0.664479872267E-3
-0.100000000000E-4,+0.663095329972E-3
+0.999999999999E-5,-0.661716544174E-3
-0.999999999989E-5,+0.660343479045E-3
+0.999999999996E-5,-0.658976099051E-3
-0.999999999989E-5,+0.657614368956E-3
+0.100000000000E-4,-0.656258253811E-3
-0.999999999993E-5,+0.654907718955E-3
+0.100000000000E-4,-0.653562730014E-3
-0.999999999996E-5,+0.652223252893E-3
+0.100000000000E-4,-0.650889253778E-3
-0.999999999996E-5,+0.649560699129E-3
+0.999999999990E-5,-0.648237555682E-3
-0.999999999994E-5,+0.646919790442E-3
+0.999999999990E-5,-0.645607370679E-3
-0.999999999999E-5,+0.644300263934E-3
+0.999999999992E-5,-0.642998438004E-3
-0.100000000000E-4,+0.641701860951E-3
+0.999999999993E-5,-0.640410501089E-3
-0.999999999999E-5,+0.639124326992E-3
+0.999999999992E-5,-0.637843307481E-3
-0.100000000000E-4,+0.636567411629E-3
+0.999999999997E-5,-0.635296608755E-3
-0.999999999990E-5,+0.634030868424E-3
+0.999999999997E-5,-0.632770160442E-3
-0.999999999988E-5,+0.631514454853E-3
+0.100000000000E-4,-0.630263721941E-3
-0.999999999991E-5,+0.629017932223E-3
+0.999999999996E-5,-0.627777056450E-3
-0.100000000002E-4,+0.626541065602E-3
+0.999999999997E-5,-0.625309930889E-3
